Reg,Bank,Status,Year,Н1.0,ROE,Loans,Securities,Deposits,Equity,EBT,H4,ROA,Overdue_debt_ratio,Hedge_indicator,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2016,16.66%,4.83%,"921,083,681,000","93,121,295,000","636,853,152,000","179,247,023,000","18,962,246,000",58.81%,0.62%,6.65%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2017,18.16%,10.12%,"954,325,113,000",130,"655,682,269,000","200,874,717,000","36,660,927,000",64.48%,1.61%,5.27%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2018,16.15%,7.14%,"1,200,867,676,000","58,673,622,000","872,962,626,000","217,303,893,000","24,334,838,000",52.35%,1.14%,3.75%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2019,17.84%,3.44%,"966,876,742,000","139,049,786,000","729,014,882,000","219,142,203,000","13,362,967,000",44.41%,0.52%,3.49%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2020,18.89%,4.28%,"1,011,660,566,000","116,069,177,000","752,408,558,000","208,660,634,000","12,030,853,000",44.90%,0.61%,4.16%,1,
1,"ЮНИКРЕДИТ БАНК, АО",Active,2021,19.45%,5.29%,"998,631,754,000","101,023,938,000","698,569,826,000","211,266,345,000","19,066,997,000",44.63%,0.83%,2.00%,1,
2,"КАБ ВИКИНГ, АО",Active,2016,37.02%,2.36%,"877,142,000",0,"596,531,000","811,708,000","41,354,000",3.10%,0.80%,7.67%,0,
2,"КАБ ВИКИНГ, АО",Active,2017,26.02%,2.28%,"1,199,983,000",0,"770,969,000","841,162,000","37,826,000",7.15%,0.67%,5.19%,0,
2,"КАБ ВИКИНГ, АО",Active,2018,38.19%,2.92%,"867,808,000",0,"518,810,000","864,272,000","24,876,000",,0.89%,1.05%,0,
2,"КАБ ВИКИНГ, АО",Active,2019,35.76%,-9.32%,"872,026,000",0,"626,268,000","657,992,000","-113,085,000",,-3.31%,8.17%,0,
2,"КАБ ВИКИНГ, АО",Active,2020,34.15%,1.44%,"880,832,000",0,"356,218,000","648,940,000","6,993,000",,0.42%,0.69%,0,
2,"КАБ ВИКИНГ, АО",Active,2021,33.49%,3.98%,"855,450,000",0,"342,425,000","664,609,000","30,385,000",,1.35%,0.43%,0,
